LOCCODE,PreK_Type,Borough,LocName,NOTE,phone,address,Postcode,Day_Length,Seats,X,Y,Email,MEALS,Website,INDOOR_OUTDOOR,EXTENDED_DAY,SEMS_CODE,Latitude,Longitude,Community Board,Council District ,Census Tract,BIN,BBL,NTA
KCEG,NYCEEC,K,Imagine Dumbo - Adams,,718-522-2263,85 Adams St,11201,1,11,987478,194940,caroline@imagineelc.com,5,http://imagineelc.com,6,1,13KCEG,40.701816,-73.988596,2,33,21,3391222,3000527501,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
KCAK,NYCEEC,K,Kindstart Preschool,,917-834-4776,7702 New Utrecht Ave,11214,1,20,984073,163035,Sooobad6@aol.com,5,http://kindstartpreschool.org,2,2,20KCAK,40.614044,-74.000443,11,43,182,3161386,3062470026,Bensonhurst West                                                           
KBVX,NYCEEC,K,Yeled V'Yalda 667,,718-514-8712,667 Eastern Pkwy,11213,3,54,999237,183401,mhorowitz@yeled.org,3,http://yeled.org,3,1,17KBVX,40.669635,-73.946205,8,35,337,3032753,3012630044,Crown Heights North                                                        
KBMC,NYCEEC,K,Small World,,718-963-0330,211 Ainslie St,11211,1,40,999340,199081,mrochford@stnicksalliance.org,3,,3,1,14KBMC,40.712972,-73.945453,1,34,495,3069039,3027700001,East Williamsburg                                                          
KBKW,NYCEEC,K,Baais Yaakov Faigeh Of Schonberger Of Adas Yereim,,718-435-5111,1169 43rd St,11219,3,36,986662,172538,yleifer@adasyereim.org,3,,3,1,15KBKW,40.640281,-73.991741,12,39,224,3135866,3055970053,Borough Park                                                               
KCNA,NYCEEC,K,"The Friends Of Crown Heights Educational Centers, Inc.",,718-638-8686,2809 Newkirk Ave,11226,1,36,998141,172469,davis@foch.biz,5,http://fochdaycare.org,9,3,22KCNA,40.639892,-73.950124,17,45,828,3333905,3052150024,Erasmus                                                                    
K255,DOE,K,P.S. 255 Barbara Reing School,,718-376-8494,1866 East 17 St,11229,1,46,996523,159403,22k255@schools.nyc.gov,2,http://ps255.org,3,3,22K255,40.604349,-73.955528,15,48,558,3184034,3068210123,Madison                                                                    
KBAZ,NYCEEC,K,Nat Azarow Children's Center,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-346-0924,232 Powell St,11212,1,40,1010873,182961,jcroskey@bksny.org,3,http://bksny.org,7,1,23KBAZ,40.668946,-73.903789,16,41,908,3084013,3037450001,Brownsville                                                                
KALT,NYCEEC,K,"Cheder, The",,718-252-6333,129 Elmwood Ave,11230,1,40,991104,167799,cheder_upk@netzero.net,3,,3,2,21KALT,40.627087,-73.975748,12,44,46201,3398191,3064990058,Flatbush                                                                   
KBIZ,NYCEEC,K,Shalva UPK I,,718-438-0060,1363 50 St,11219,1,60,986780,170117,YYS@BobovSchool.com,5,,9,3,20KBIZ,40.633685,-73.991389,12,44,236,3137765,3056420048,Borough Park                                                               
KCLF,NYCEEC,K,"Ira's Daycare And Preschool Inc., III",,718-739-6500,900 Lenox Rd,11203,1,54,1004738,178086,rogersdorinda@gmail.com,5,,9,3,18KCLF,40.655612,-73.926153,17,41,866,3392635,3046607501,Rugby-Remsen Village                                                       
KCEH,NYCEEC,K,Imagine Brooklyn Heights,,718-624-7520,50 Monroe Pl,11201,1,20,986272,192646,Sally@imagineelc.com,5,http://imagineelc.com,2,1,13KCEH,40.695717,-73.992831,2,33,502,3001917,3002380007,Brooklyn Heights-Cobble Hill                                               
KAAE,NYCEEC,K,Adelphi Academy Of Brooklyn,,718-238-3308,8515 Rdg Blvd,11209,1,36,975045,166820,romanosi@adelphinyc.org,5,,9,3,20KAAE,40.624746,-74.03347,10,43,62,3328998,3060330001,Bay Ridge                                                                  
KBBE,NYCEEC,K,PAL Carey Gardens,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-372-4044,2964 West 23rd St,11224,1,21,987018,148546,Kchase@palnyc.org,3,http://palnyc.org,7,1,21KBBE,40.574699,-73.989827,13,47,326,3321840,3070560014,Seagate-Coney Island                                                       
KBKV,NYCEEC,K,United Academy - Wythe Avenue,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-935-9848,722 Wythe Ave,11249,1,20,994869,194894,sdsalamon@gmail.com,5,,9,3,14KBKV,40.701848,-73.961662,1,33,539,3346162,3022030020,Williamsburg                                                               
KBWT,NYCEEC,K,Our Children The Leaders Of Tomorrow 1,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-643-8201,756 Myrtle Ave,11206,1,28,997570,192432,oclot756@gmail.com,3,,2,1,14KBWT,40.695021,-73.952276,3,36,253,3393745,3017547502,Bedford                                                                    
KCJM,NYCEEC,K,"Circle, Triangle, Square Daycare, Inc.",,718-373-2234,2720 86th St,11223,3,18,989394,155744,shwnisaac@circletrianglesquaredaycare.com,3,http://circletrianglesquaredaycare.com,3,1,21KCJM,40.594458,-73.981489,13,47,402,3397445,3071167501,Bensonhurst East                                                           
KBQW,NYCEEC,K,Get Set Kindergarten School - Linden,,718-856-4646,623 Linden Blvd,11203,1,36,1002127,177457,getsetkaye@hotmail.com,2,,7,1,18KBQW,40.653737,-73.935569,17,41,872,3108416,3048650026,East Flatbush-Farragut                                                     
KCDI,NYCEEC,K,Beth Jacob Of Borough Park,,718-436-7300,1371 46 St,11219,1,80,987479,170870,avivahimy@gmail.com,7,,7,2,20KCDI,40.635845,-73.988932,12,44,232,3136747,3056170043,Borough Park                                                               
KCHU,NYCEEC,K,Infinity UPK Of Gerritsen Avenue,,718-336-1981,2934 - 2936 Gerritsen Ave,11229,1,29,1006121,153905,blitblues@aol.com,5,http://infinitypreschool.org,4,2,22KCHU,40.589325,-73.921229,15,46,628,3249464,3089070524,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             
KADG,NYCEEC,K,Bnos Menachem,,718-493-1100,739 East New York Ave,11203,3,18,1001380,180668,bnos.menachem@verizon.net,1,http://bnosmenachem.org,8,1,17KADG,40.662347,-73.938285,9,41,87401,3038483,3014280047,Prospect Lefferts Gardens-Wingate                                          
KBQP,NYCEEC,K,Shore Parkway Head Start,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-265-2359,8885 26th Ave,11214,1,36,986901,154500,sparkway8885@gmail.com,5,,9,3,21KBQP,40.590844,-73.991017,13,43,314,3187110,3069100017,Gravesend                                                                  
KCMV,NYCEEC,K,ABC Plus,,347-702-6868,1018 Banner Ave #2,11235,1,12,995544,151828,vbobvb144@msn.com,5,http://abcplusdaycare.com,9,3,21KCMV,40.583509,-73.959711,15,48,608,3247959,3088090031,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             
KAWC,NYCEEC,K,"Hanover Place CCC, LLC",,347-916-0333,15 Hanover Pl,11201,1,160,989158,190182,rcacere@hanoverchildcare.com,3,http://hanoverchildcare.com,2,1,15KAWC,40.688827,-73.982454,2,33,37,3000462,3001610003,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
KAIN,NYCEEC,K,Phyl's Academy,,718-469-9400,3520 Tilden Ave,11203,1,144,999883,174969,info@phylsacademyny.com,5,http://phylsacademyny.com,3,1,17KAIN,40.64708,-73.944058,17,45,854,3110600,3049200006,East Flatbush-Farragut                                                     
KCNY,NYCEEC,K,NY Preschool Brooklyn Heights,,718-228-0800,182 Henry St,11201,1,18,985816,192521,stephanie.t@nykidsclub.com,5,,9,3,13KCNY,40.69505,-73.994187,2,33,501,3001962,3002420001,Brooklyn Heights-Cobble Hill                                               
KABF,NYCEEC,K,Bais Yaakov Academy UPK,,718-339-4747,1213 Elm Ave,11230,3,60,994745,164146,mlevin@gamlacollege.com,5,,9,3,21KABF,40.616988,-73.962457,14,48,768,3180784,3067410012,Midwood                                                                    
KBKE,NYCEEC,K,LSSMNY : Early Life Children's Center 9,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-443-4500,1175 Gates Ave,11221,1,71,1006405,191310,lsingh@lssny.org,3,http://lssny.org,1,1,32KBKE,40.691707,-73.919907,4,34,399,3076253,3033310025,Bushwick South                                                             
KBYJ,NYCEEC,K,"Al Madinah School, Inc.",,718-222-4986,383 3rd Ave,11215,1,45,987482,184948,almadinahinfo@gmail.com,2,http://almadinah-school.com,2,1,15KBYJ,40.673671,-73.989163,6,39,119,3338558,3009800001,Park Slope-Gowanus                                                         
KBYN,NYCEEC,K,Bumble Bee R Us - Lorraine Street,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,855-532-9227,76 Lorraine St,11231,1,17,982352,184903,info@bumblebeesrus.com,3,http://bumblebeesrus.com,3,1,15KBYN,40.674385,-74.006886,6,38,53,3338801,3005800016,Carroll Gardens-Columbia Street-Red Hook                                   
K326,DOE,K,P.S. 326,,718-241-4828,1800 Utica Ave,11234,1,28,1004192,168228,mfoster5@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/22/k326,3,3,22K326,40.628659,-73.92793,18,45,728,3215550,3077750001,Flatlands                                                                  
K375,DOE,K,P.S. 375 Jackie Robinson School,,718-693-6655,46 Mckeever Pl,11225,1,36,995449,181484,sellman@schools.nyc.gov,3,http://schools.nyc.gov/schoolportals/17/k375,3,1,17K375,40.665035,-73.959031,9,35,325,3034356,3013010001,Crown Heights South                                                        
KCOS,NYCEEC,K,Gated Academy,,718-693-3699,1019 Church Ave,11218,1,20,992646,174992,GATEDACADEMY@GMAIL.COM,5,,9,3,17KCOS,40.646714,-73.970047,14,40,506,3116329,3050710041,Flatbush                                                                   
KBJP,NYCEEC,K,PAL Arnold And Marie Schwartz Early Learn Center,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-342-4724,452 Pennsylvania Ave,11207,1,49,1013469,181965,ARudder@palnyc.org,3,http://palnyc.org,3,1,19KBJP,40.666064,-73.894388,5,42,1126,3084628,3038050026,East New York (Pennsylvania Ave)                                           
KBAE,NYCEEC,K,Block Institute,,347-649-3601,133 27th Ave,11214,1,32,987750,154384,nwu@blockinstitute.org,3,http://blockinstitute.org,3,2,21KBAE,40.590852,-73.987369,13,47,306,3186885,3069000011,Gravesend                                                                  
KCBR,NYCEEC,K,Yde,,718-232-0100,49 Ave T,11223,3,64,989006,157299,adouek@ydeschool.org,8,http://ydeschool.org,3,1,21KCBR,40.598167,-73.983428,11,47,406,3189815,3070770044,Bensonhurst East                                                           
K277,DOE,K,P.S. 277 Gerritsen Beach,,718-743-6689,2529 Gerritsen Ave,11229,1,18,1004239,156389,jfish3@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/22/k277,7,3,22K277,40.596145,-73.928793,18,46,666,3242369,3085900650,park-cemetery-etc-Brooklyn                                                 
K361,DOE,K,P.S. 361 East Flatbush Early Childhood School,,718-856-0600,3109 Newkirk Ave,11226,1,36,998959,172556,jcolon5@schools.nyc.gov,5,http://schools.nyc.gov/schoolportals/22/k361,9,3,22K361,40.640066,-73.947253,17,45,830,3112334,3049650001,East Flatbush-Farragut                                                     
K003,DOE,K,P.S. 003 The Bedford Village,,718-622-2960,50 Jefferson Ave,11216,1,90,996604,187904,kbeeche@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/13/k003,3,3,13K003,40.682663,-73.955338,3,36,227,3057406,3019980001,Clinton Hill                                                               
K188,DOE,K,P.S. 188 Michael E Berdy,,718-265-7580,3314 Neptune Ave,11224,1,36,984106,149472,agreen31@schools.nyc.gov,3,http://schools.nyc.gov/schoolportals/21/k188,3,3,21K188,40.577217,-74.000194,13,47,328,3188726,3070060001,Seagate-Coney Island                                                       
KBOI,NYCEEC,K,Joan Watkins Corp. D / B / A Pre - School Minds DCC,,718-284-9392,3316 - 18 Church Ave,11203,1,40,999222,176394,preschoolminds@verizon.et,3,,7,2,17KBOI,40.650957,-73.946419,17,45,856,3109372,3048870007,East Flatbush-Farragut                                                     
KBMX,NYCEEC,K,A Fantis Parochial School,,718-624-0501,195 State St,11201,1,40,986644,190766,upkdirector@afantis.org,5,,9,3,15KBMX,40.690159,-73.99145,2,33,9,3329468,3002710032,Brooklyn Heights-Cobble Hill                                               
K115,DOE,K,P.S. 115 Daniel Mucatel School,,718-241-1000,1500 East 92 St,11236,1,108,1012677,170592,lborgese@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/18/k115,3,3,18K115,40.635015,-73.897262,18,46,1008,3232559,3082560001,Canarsie                                                                   
KBBY,NYCEEC,K,Be Above #27,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,347-997-2488,779 East 49 St,11203,1,57,1003622,173410,beabove49street@yahoo.com,3,,8,1,18KBBY,40.64264,-73.930408,17,45,840,3105709,3047700050,East Flatbush-Farragut                                                     
K091,DOE,K,P.S. 091 The Albany Avenue School,,718-756-0243,532 Albany Ave,11203,1,72,1000834,180404,talleyn2@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/17/k091,3,3,17K091,40.661886,-73.93994,9,41,806,3106599,3047940026,Prospect Lefferts Gardens-Wingate                                          
KBBB,NYCEEC,K,Bambi Day Care IV,,718-332-8656,405 81st St,11209,1,73,976957,167477,info@bambiacademy.com,3,http://bambidaycare.com,7,1,20KBBB,40.626187,-74.02632,10,43,138,3328847,3059890001,Bay Ridge                                                                  
KCIL,NYCEEC,K,Urban Strategies Child Care,,718-235-6151,1405 Bushwick Ave,11207,1,18,1009275,188871,USHeadStart1@aol.com,3,http://urbanstrategies.org,6,2,32KCIL,40.684665,-73.909632,4,37,403,3326473,3034390003,Bushwick South                                                             
K158,DOE,K,P.S. 158 Warwick,,718-277-6116,400 Ashford St,11207,1,72,1016131,184337,awilson3@schools.nyc.gov,3,http://schools.nyc.gov/schoolportals/19/k158,3,3,19K158,40.672579,-73.884803,5,37,1150,3089176,3040150001,East New York                                                              
KBYC,NYCEEC,K,YWCA - NYC Roberta Bright ELC,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-373-1100,3001 W 37th St,11224,1,16,983635,147991,sramirez@ywcanyc.org,3,http://ywcanyc.org,7,1,21KBYC,40.573177,-74.002509,13,47,340,3189617,3070650001,Seagate-Coney Island                                                       
KASJ,NYCEEC,K,BCS Duffield Children's Center,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-522-5296,101 Fleet Pl,11201,1,93,989371,191718,ilopez@wearebcs.org,3,http://wearebcs.org,3,1,13KASJ,40.692598,-73.981761,2,35,31,3058258,3020610100,Fort Greene                                                                
KBPR,NYCEEC,K,"Long Xing DCC, Inc.",,718-853-8989,825 57th St Fl 3,11220,1,28,982328,171307,longxingdcc@gmail.com,7,,7,1,20KBPR,40.636776,-74.007073,12,38,104,3139898,3056860068,Sunset Park East                                                           
K308,DOE,K,P.S. 308 Clara Cardwell,,718-574-2373,616 Quincy St,11221,1,28,1002040,190109,gpatter@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/16/k308,3,3,16K308,40.688695,-73.935499,3,36,293,3044493,3016300001,Stuyvesant Heights                                                         
KBYM,NYCEEC,K,Friends Of Crown Heights 26,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-467-4270,20 Sutter Ave,11212,1,37,1005874,181647,emerita.murrell1@gmail.com,3,http://fochdaycare.org,4,1,23KBYM,40.665361,-73.922177,16,41,900,3081165,3035310023,Brownsville                                                                
KCLD,NYCEEC,K,Sunny Skies Prospect Corp.,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-372-4665,969 43rd St,11219,1,18,985524,173420,info@sunnyskiespreschool.com,5,,9,3,15KCLD,40.642867,-73.996025,12,38,112,3135794,3055950043,Sunset Park East                                                           
Z072,DOE,K,Pre - K Center At 8501 5th Avenue,,718-439-2960,8501 5th Ave,11209,1,20,977144,165850,DGounar@schools.nyc.gov,5,,9,3,20Z072,40.622039,-74.025734,10,43,142,3153196,3060360001,Bay Ridge                                                                  
KAKF,NYCEEC,K,St. Mark School,,718-332-9304,2602 East 19th St,11235,1,36,997939,153520,jvok@smsonthebay.com,5,http://smsonthebay.com,3,1,22KAKF,40.588254,-73.950523,15,48,600,3205007,3074630005,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             
KBKJ,NYCEEC,K,Strong Place For Hope DCC - Clinton St.,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-624-2993,595 Clinton St,11231,1,39,983837,185141,strongplace@hotmail.com,3,http://strongplaceforhopedaycare.com,3,1,15KBKJ,40.675091,-74.001676,6,38,53,3008517,3005520005,Carroll Gardens-Columbia Street-Red Hook                                   
KBLJ,NYCEEC,K,"Community Parents, Inc.",<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-221-2531,60 East 93rd St,11212,1,58,1004240,180994,clairewflor12@optonline.net,3,,7,1,17KBLJ,40.662494,-73.927007,17,41,882,3346863,3045950215,Rugby-Remsen Village                                                       
KBVJ,NYCEEC,K,Bnos Square Of Williamsburg,,718-797-9844,382 Willoughby Ave,11205,3,58,996646,191717,mkohn@bnossquare.org,5,,9,3,13KBVJ,40.693033,-73.955389,3,33,241,3393747,3017627502,Bedford                                                                    
K307,DOE,K,P.S. 307 Daniel Hale Williams,,718-834-4748,209 York St,11201,1,100,989287,194892,rdavenport@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/13/k307,3,1,13K307,40.701343,-73.982314,2,33,21,3000158,3000560007,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
KCIM,NYCEEC,K,Brooklyn Explorers Academy,,855-687-6923,110 Schermerhorn St,11201,1,36,987165,190666,info@brooklynexplorersacademy.com,7,http://brooklynexplorersacademy.com,7,1,15KCIM,40.690162,-73.989182,2,33,43,3000533,3001690009,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
K054,DOE,K,P.S. 054 Samuel C Barnes,,718-834-6752,195 Sanford St,11205,1,46,997373,191615,lkhan@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/13/k054,3,3,13K054,40.693018,-73.953034,3,33,241,3049020,3017650015,Bedford                                                                    
KBLK,NYCEEC,K,Bedford Stuyvesant ECDC 5Q,,718-453-0788,5 Quincy St,11238,3,38,995035,189232,charlesm@bsecdc.org,3,,2,2,13KBLK,40.685789,-73.960911,2,35,231,3056376,3019690030,Clinton Hill                                                               
KAET,NYCEEC,K,Dimitrios & Georgia Kaloidis P.S. Of Holy Cross Goc,,718-836-8096,8502 Rdg Blvd,11209,1,72,974876,166906,,2,http://dgkschool.com,3,2,20KAET,40.624826,-74.033459,10,43,50,3153048,3060320037,Bay Ridge                                                                  
KBVZ,NYCEEC,K,Little Sun People,,718-789-7330,1360 Fulton St,11216,1,18,999090,187012,faye@littlesunpeople.com,3,http://littlesunpeople.com,6,1,13KBVZ,40.680186,-73.94593,3,36,247,3329709,3018620001,Crown Heights North                                                        
KBPO,NYCEEC,K,"Brooklyn Child Care, Inc.",,718-630-2831,800 Poly Pl Building 2,11209,1,15,977227,161359,tanya.lipkin@va.gov,5,,7,1,20KBPO,40.609263,-74.02399,10,43,164,3345707,3061530001,Bay Ridge                                                                  
KBLL,NYCEEC,K,Northside Center For Child Development,,347-505-5517,44 - 60 Rockwell Pl,11201,1,20,989926,190175,drobinson@norhtsidecenter.org,3,http://northsidecenter.org,7,2,13KBLL,40.688807,-73.979375,2,35,33,3058596,3020940035,Fort Greene                                                                
KCHN,NYCEEC,K,Friends Of Crown Heights,,917-966-4400,2805 Newkirk Ave,11226,1,40,998107,172467,cdelicar@aol.com,3,http://fochdaycare.org,6,1,22KCHN,40.639889,-73.95015,17,45,828,3333904,3052150024,Erasmus                                                                    
K193,DOE,K,P.S. 193 Gil Hodges,,718-338-9011,2515 Ave L,11210,1,18,998056,165816,TBackof@schools.nyc.gov,3,http://gilhodgesschool.wix.com/ps193,3,3,22K193,40.621507,-73.950473,14,45,754,3208461,3076250001,Midwood                                                                    
KCEI,NYCEEC,K,Bambi Day Care II,,718-648-3332,2121 Bragg St,11229,1,80,1002078,158034,info@bambiacademy.com,3,http://bambidaycare.com,3,1,22KCEI,40.600261,-73.936041,15,46,570,3200516,3073690068,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             
KBOQ,NYCEEC,K,Yeled V'Yalda 407,,718-514-8712,407 East 53rd St,11203,3,24,1004501,175992,mhorowitz@yeled.org,3,http://yeled.org,3,1,18KBOQ,40.64967,-73.927219,17,45,862,3103944,3047250063,Rugby-Remsen Village                                                       
KBMP,NYCEEC,K,Bay Ridge CCC,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-768-5030,314 - 44th St,11220,1,60,981212,176356,Bayridgechildcare@twcmetrobiz.com,3,,8,2,15KBMP,40.650667,-74.010487,7,38,80,3337171,3007370014,Sunset Park West                                                           
KBRH,NYCEEC,K,Nayema Universal Child Center,,718-462-3688,1107 Newkirk Ave,11230,1,18,993554,170338,lenxcare@aol.com,4,,6,2,22KBRH,40.634005,-73.966544,14,40,526,3120093,3051970040,Flatbush                                                                   
K114,DOE,K,P.S. 114 Ryder Elementary,,718-257-4428,1077 Remsen Ave,11236,1,54,1009741,173411,dsmith6@schools.nyc.gov,3,http://schools.nyc.gov/schoolportals/18/k114,3,3,18K114,40.642792,-73.908806,18,46,964,3229159,3081600022,Canarsie                                                                   
K770,DOE,K,P.S. 770 New American Academy,,718-221-5837,60 East 94 St,11212,1,36,1004164,181298,jsaratovsky@thenewamericanacademy.org,3,http://schools.nyc.gov/schoolportals/17/k770,3,1,17K770,40.663559,-73.926959,17,41,882,3323072,3045950015,Rugby-Remsen Village                                                       
K225,DOE,K,P.S. K225 - The Eileen E Zaglin,,718-743-9793,1075 Ocean Vw Ave,11235,1,66,996443,150554,MCosmai@schools.nyc.gov,3,http://schools.nyc.gov/schoolportals/21/k225,2,3,21K225,40.579737,-73.956329,13,48,61004,3245498,3087120056,Brighton Beach                                                             
K299,DOE,K,P.S. 299 Thomas Warren Field,,718-574-0301,88 Woodbine St,11221,1,36,1007012,191023,wkirk2@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/32/k299,3,3,32K299,40.691077,-73.918152,4,34,399,3076734,3033580001,Bushwick South                                                             
KBLY,NYCEEC,K,Graham CCC,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-387-9482,222 Graham Ave,11206,1,40,999969,197833,grahamchildcare@verizon.net,3,http://colonysouth.org,7,2,14KBLY,40.709622,-73.943569,1,34,493,3344971,3030260001,Bushwick South                                                             
KBVO,NYCEEC,K,"Yeled V'Yalda ECC, Inc.",,718-732-7770,2166 Coney Is Ave,11223,3,40,994805,159373,cbuchman@yeled.org,1,http://yeled.org,7,1,21KBVO,40.6042,-73.961654,15,48,416,3394079,3066850034,Homecrest                                                                  
K023,DOE,K,P.S. 023 Carter G Woodson,,718-387-0375,545 Willoughby Ave,11206,1,36,998775,192219,cnapoli@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/14/k023,3,3,14K023,40.69407,-73.94756,3,36,25901,3048818,3017590013,Bedford                                                                    
K247,DOE,K,P.S. 247 Brooklyn,,718-236-4205,7000 21 Ave,11204,1,18,987819,162329,cogno@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/20/k247,3,3,20K247,40.612273,-73.986713,11,47,258,3157466,3061740036,Bensonhurst West                                                           
KBVL,NYCEEC,K,Ella Baker Charles Romain CDC Of Medgar Evers,,718-270-6018,1150 Carroll St,11225,1,16,997614,182305,Janetm@mec.cuny.edu,3,http://mec.cuny.edu,6,1,17KBVL,40.667253,-73.952195,9,35,321,3337869,3012890025,Crown Heights South                                                        
K196,DOE,K,P.S. 196 Ten Eyck,,718-497-0139,207 Bushwick Ave,11206,1,46,1000961,197506,mrodriguez3@schools.nyc.gov,3,http://schools.nyc.gov/schoolportals/14/k196,3,3,14K196,40.708723,-73.940002,1,34,485,3071024,3030460001,Bushwick South                                                             
KASG,NYCEEC,K,Edwards L Cleaveland,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-623-9803,1185 Park Pl,11213,1,26,1001328,184557,jmatison@bksny.org,3,http://bksny.org,7,2,17KASG,40.672793,-73.938391,8,36,343,3324613,3013520080,Crown Heights North                                                        
KACI,NYCEEC,K,Bambi Day Care,,718-645-7010,1981 Homecrest Ave,11229,1,60,995495,158326,info@bambiacademy.com,3,http://bambidaycarecenter.com,3,1,21KACI,40.601446,-73.959725,15,48,556,3196710,3072910134,Homecrest                                                                  
KBJH,NYCEEC,K,All My Children Day Care 10,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-576-6812,420 Lefferts Ave,11225,1,54,998876,180599,info@allmychildrendaycare.com,3,http://allmychildrendaycare.com,7,1,17KBJH,40.662571,-73.947213,9,40,806,3035444,3013310009,Prospect Lefferts Gardens-Wingate                                          
K270,DOE,K,P.S. 270 Johann Dekalb,,718-623-5280,241 Emerson Pl,11205,1,54,994945,191064,sneely@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/13/k270,3,3,13K270,40.690202,-73.961478,2,35,193,3055378,3019330102,Clinton Hill                                                               
KCOL,NYCEEC,K,"Happy Scholars, Inc.",,917-907-0183,7806 New Utrecht Ave,11214,1,36,983999,162711,happyscholars2013@gmail.com,5,,9,3,20KCOL,40.613248,-74.000677,11,43,182,3162090,3062590037,Bensonhurst West                                                           
KBJQ,NYCEEC,K,Friends Of Crown Heights Educational Center,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,929-234-2866,921 Hegeman Ave,11208,1,53,1017772,181780,bobb@foch.biz,3,http://fochdaycare.org,4,1,19KBJQ,40.665508,-73.878716,5,42,1120,3097095,3043150040,East New York                                                              
KBJU,NYCEEC,K,Shirley Chisholm DCC Site 5 Advent Center,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-452-1200,265 Sumpter St,11233,1,20,1007906,187363,advent265@aol.com,3,,3,2,23KBJU,40.680601,-73.914761,16,41,371,3339185,3015200051,Ocean Hill                                                                 
KBPP,NYCEEC,K,Georgia L Mcmurray Bat Kids Center,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-567-0818,140 58th St,11220,1,29,977969,174172,glmbatkids@yahoo.com,5,,9,3,20KBPP,40.645338,-74.022864,7,38,18,3257058,3057780001,Sunset Park West                                                           
KBQB,NYCEEC,K,"Long Xing DCC, Inc.",,718-853-8989,"762 59th St, 2 / F & 3 / F",11220,1,58,981579,171103,longxingdcc@gmail.com,7,,7,1,20KBQB,40.636611,-74.009854,7,38,104,3392309,3008660034,Sunset Park East                                                           
K280,DOE,K,Pre - K Center At Bishop Ford School Site,,718-965-1190,500 19th St,11215,1,488,989077,178398,mseide2@schools.nyc.gov,2,http://ps10.org,2,1,15K863,40.656944,-73.983115,7,38,1502,3017307,3008890001,Windsor Terrace                                                            
K506,DOE,K,P.S. 506 : The School Of Journalism & Technology,,718-492-0087,330 59 St,11220,1,18,978839,173228,lsarnic@schools.nyc.gov,5,http://schools.nyc.gov/schoolportals/20/k506,9,3,20K506,40.642121,-74.018997,7,38,74,3016258,3008620012,Sunset Park West                                                           
K130,DOE,K,P.S. 130 The Parkside,,718-686-1940,70 Ocean Pkwy,11218,1,72,990932,175699,mnunzia@schools.nyc.gov,2,http://ps130brooklyn.com,7,3,15K130,40.648884,-73.975607,7,39,500,3124019,3053190001,Windsor Terrace                                                            
